,Kruglyak_name,Jerison_name
926,A11_15,NA
927,A11_16,NA
928,A11_17,NA
929,A11_18,NA
930,A11_19,NA
931,A11_20,NA
932,A11_21,NA
933,A11_22,NA
934,A11_23,NA
935,A11_24,NA
936,A11_25,NA
937,A11_26,NA
938,A11_27,NA
939,A11_28,NA
940,A11_29,NA
941,A11_30,NA
942,A11_31,NA
943,A11_32,NA
944,A11_33,NA
945,A11_34,NA
946,A11_35,NA
947,A11_36,NA
948,A11_37,NA
949,A11_38,NA
950,A11_39,NA
951,A11_40,NA
952,A11_41,NA
953,A11_42,NA
954,A11_43,NA
955,A11_44,NA
956,A11_45,NA
957,A11_46,NA
958,A11_47,NA
959,A11_48,NA
960,A11_49,NA
961,A11_50,NA
962,A11_51,NA
963,A11_52,NA
964,A11_53,NA
965,A11_54,NA
966,A11_55,NA
967,A11_56,NA
968,A11_57,NA
969,A11_58,NA
970,A11_59,NA
971,A11_60,NA
972,A11_61,NA
973,A11_62,NA
974,A11_63,NA
975,A11_64,NA
976,A11_65,NA
977,A11_66,NA
978,A11_67,NA
979,A11_68,NA
980,A11_69,NA
981,A11_70,NA
982,A11_71,NA
983,A11_72,NA
984,A11_73,NA
985,A11_74,NA
986,A11_75,NA
987,A11_76,NA
988,A11_77,NA
989,A11_78,NA
990,A11_79,NA
991,A11_80,NA
992,A11_81,NA
993,A11_82,NA
994,A11_83,NA
995,A11_84,NA
996,A11_85,NA
997,A11_86,NA
998,A11_87,NA
999,A11_88,NA
1000,A11_89,NA
1001,A11_90,NA
1002,A11_91,NA
1003,A11_92,NA
1004,A11_93,NA
1005,A11_94,NA
1006,A11_95,NA
1007,A11_96,NA
